,Unnamed: 0,eid,Author_ID,Affiliation_ID,cite,Auth_Ave_Cites,IsHigh
352,1471,2-s2.0-37849030236,26643374800,,0,not high,0
353,1475,2-s2.0-84900952277,6602554585,106744123,0,not high,0
354,1481,2-s2.0-38149133110,7005162881,,0,not high,0
355,1483,2-s2.0-38049144227,6602376230,,0,not high,0
357,1485,2-s2.0-38149019892,7005674407,,0,not high,0
360,1492,2-s2.0-38149016089,7004072937,,0,not high,0
361,1497,2-s2.0-38049055833,6507253900,,0,not high,0
362,1498,2-s2.0-38049093251,7003400589,,0,not high,0
363,1502,2-s2.0-38149125562,7406280812,,0,not high,0
365,1510,2-s2.0-38049013819,7402073082,,0,not high,0
366,1518,2-s2.0-37849043415,7003773599,,0,not high,0
367,1529,2-s2.0-38349074188,8863526700,,0,not high,0
368,1538,2-s2.0-38149043512,7401580121,,0,not high,0
369,1539,2-s2.0-37849037777,27169346300,,0,not high,0
371,1555,2-s2.0-38049067233,6602849837,,0,not high,0
372,1558,2-s2.0-38149062900,35264048900,,0,not high,0
374,1561,2-s2.0-84882498225,6603858607,112779497,0,not high,0
375,1579,2-s2.0-36048978879,14820065600,60018869,2,not high,0
379,1591,2-s2.0-38349017069,6603604310,,0,not high,0
380,1593,2-s2.0-38149004452,7005091086,,0,not high,0
381,1597,2-s2.0-59349115133,55171738800,,2,not high,0
382,1619,2-s2.0-38149090106,7003395443,,0,not high,0
383,1621,2-s2.0-38049144260,7102083582,,0,not high,0
385,1626,2-s2.0-38549116105,23009881000,,0,not high,0
386,1627,2-s2.0-38049004869,7005513273,,0,not high,0
388,1639,2-s2.0-38349030686,7102150409,,0,not high,0
390,1642,2-s2.0-38149003729,56187745600,,0,not high,0
393,1651,2-s2.0-38149037071,24604968400,,0,not high,0
394,1660,2-s2.0-38049132750,6701493053,,0,not high,0
395,1693,2-s2.0-38049177757,55952335900,105556164,0,not high,0
396,1700,2-s2.0-57349151040,6507073980,60023020,12,not high,0
398,1704,2-s2.0-38049033396,7004928552,,0,not high,0
399,1720,2-s2.0-38349075944,7101896868,,0,not high,0
400,1736,2-s2.0-38149041797,23145163000,,0,not high,0
402,1740,2-s2.0-38149077346,7102278388,,0,not high,0
404,1742,2-s2.0-38048998636,6602882116,,0,not high,0
406,1745,2-s2.0-38149120380,23027168400,,0,not high,0
407,1761,2-s2.0-38049076488,55746242200,,0,not high,0
409,1767,2-s2.0-38549168870,7006824941,,0,not high,0
410,1785,2-s2.0-38049110810,56891817800,,0,not high,0
411,1800,2-s2.0-38549155647,7101896868,,0,not high,0
412,1809,2-s2.0-49049087711,6603701683,,0,not high,0
414,1812,2-s2.0-38149120446,8533464900,,0,not high,0
415,1817,2-s2.0-38449097365,7102112094,,0,not high,0
416,1821,2-s2.0-38049161803,8961532800,,0,not high,0
417,1826,2-s2.0-38049144772,7006394072,,0,not high,0
418,1833,2-s2.0-39649099968,7403180310,,0,not high,0
421,1857,2-s2.0-38349044393,7003412852,,0,not high,0
422,1866,2-s2.0-38049068747,23669008100,,0,not high,0
423,1869,2-s2.0-38049120476,7003941338,,0,not high,0
424,1873,2-s2.0-38049177609,57089583800,,0,not high,0
425,1880,2-s2.0-37849050597,7404451300,,0,not high,0
426,1885,2-s2.0-57649149876,56219698500,60023256,2,not high,0
427,1887,2-s2.0-47649126881,23466512300,60003892,1,not high,0
429,1889,2-s2.0-48349133970,24483098300,60006288,9,not high,0
