eid,affiliation_id,affiliation_name,affiliation_country
2-s2.0-72749095050,60020697,Institute of Plasma Physics Chinese Academy of Sciences,China
2-s2.0-72749114345,108140202,Henan Fifth Construction and Installation Project Limited Company,China
2-s2.0-72749114345,107970877,Construction Engineering Quality Supervise Station,China
2-s2.0-72749114345,104911880,Henan University of Urban Construction,China
2-s2.0-72749114345,60017482,Jiangsu University,China
2-s2.0-72749084462,60057642,Huaihai Institute of Technology,China
2-s2.0-72749104203,60023237,Beijing Normal University,China
2-s2.0-72749093352,60019533,Tianjin University,China
2-s2.0-72749102965,60022528,Beijing Technology &amp; Business University,China
2-s2.0-72749091061,60073460,China University of Mining Technology,China
2-s2.0-72749084195,60027716,National Oceanic and Atmospheric Administration,United States
2-s2.0-72749084195,60022422,Ocean University of China,China
2-s2.0-72749084103,60019499,Chinese Academy of Sciences,China
2-s2.0-72749084103,60019616,Harbin Institute of Technology,China
2-s2.0-72749084103,60002798,Chinese University of Hong Kong,China
2-s2.0-72749097975,60019499,Chinese Academy of Sciences,China
2-s2.0-72749097975,60018205,Xiamen University,China
2-s2.0-72749109131,60027257,Shenyang Institute of Applied Ecology Chinese Academy of Sciences,China
2-s2.0-72749122491,60026981,Xi'an University of Technology,China
2-s2.0-72749122491,60010851,Hohai University,China
2-s2.0-72749122677,60009941,Technische Universitat Kaiserslautern,Germany
2-s2.0-72749093170,60010851,Hohai University,China
2-s2.0-72749088250,60021200,East China Normal University,China
2-s2.0-72749088250,60029306,Wuhan University,China
2-s2.0-72749128303,60017605,Fuzhou University,China
2-s2.0-72749128303,60018038,Nankai University,China
2-s2.0-72749105623,60019544,Macquarie University,Australia
2-s2.0-72749105623,60007029,Jiangnan University,China
2-s2.0-72749104187,60087828,Ministry of Transport of the People's Republic of China,China
2-s2.0-72749104187,60009409,"China University of Geosciences, Beijing",China
2-s2.0-72749123184,60010432,Soochow University,China
2-s2.0-72749091101,60073652,Tongji University,China
2-s2.0-72749098674,108171125,Daqing Oilfield Property Group Liquefied Petroleum Gas Companies,China
2-s2.0-72749098674,60011402,Daqing Petroleum Institute,China
2-s2.0-72749096752,60022414,Wuhan University of Technology,China
2-s2.0-72749089915,60073652,Tongji University,China
2-s2.0-72749086853,60023380,Chongqing University,China
2-s2.0-72749092666,60072369,Cheng Hsin Rehabilitation Medical Center Taiwan,Taiwan
2-s2.0-72749092666,60024908,I-Shou University,Taiwan
2-s2.0-72749092666,60069716,National Yang-Ming University Taiwan,Taiwan
2-s2.0-72749092666,60016969,Academia Sinica Taiwan,Taiwan
2-s2.0-72749117901,60092437,Tianjin University of Science &amp; Technology,China
2-s2.0-72749106836,60011069,East China University of Science and Technology,China
2-s2.0-72749088016,60019533,Tianjin University,China
2-s2.0-72749095827,60092443,DaLian Fisheries University,China
2-s2.0-72749095827,60022422,Ocean University of China,China
2-s2.0-72749100699,60010591,Huazhong Normal University,China
2-s2.0-72749105211,60023380,Chongqing University,China
2-s2.0-72749106651,101556809,Development and Reformation Commission of Jilin Province,China
2-s2.0-72749106651,60007711,Jilin University,China
2-s2.0-72749098195,60017970,Henan University of Technology,China
2-s2.0-72749099802,60014966,Peking University,China
2-s2.0-72749099802,60009860,Fudan University,China
2-s2.0-72749097976,60025084,Shanghai Jiaotong University,China
2-s2.0-72749125626,60026499,"Institute of Bioengineering and Nanotechnology, A-Star, Singapore",Singapore
2-s2.0-72749097429,60030434,Qingdao University,China
2-s2.0-72749097429,60025278,Tsinghua University,China
2-s2.0-72749105432,60005949,Central South University of Forestry &amp; Technology,China
2-s2.0-72749095556,60016318,Chengdu University of Information Technology,China
2-s2.0-72749095556,60016521,Sichuan University,China
2-s2.0-72749090167,60026027,Hawaii Pacific University,United States
2-s2.0-72749090167,60014402,Renmin University of China,China
2-s2.0-72749086669,60092437,Tianjin University of Science &amp; Technology,China
2-s2.0-72749108927,60029097,"Jinan University, School of Medicine",China
2-s2.0-72749108927,60002798,Chinese University of Hong Kong,China
